name,scientific_name,status,habitat,population,range_center,range_radius_km,range_radius_m,description,image
American Black Duck,Anas rubripes,Least Concern,Coastal Birds,"500,000","41.2, -72.5",1000,50000,Prefers coastal marshes and has declined due to habitat loss.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/783_Sibl_9780307957900_art_r1.jpg
American Oystercatcher,Haematopus palliatus,Least Concern,Coastal Birds,"43,000","41.2, -72.5",800,50000,Uses its strong orange bill to pry open mollusks.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/2820_Sibl_9780307957900_art_r1.jpg
Bald Eagle,Haliaeetus leucocephalus,Least Concern,Forest Birds,"316,700","41.6, -72.7",2500,90000,"America’s national bird, once endangered, now thriving.",https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/971_Sibl_9780307957900_art_r1.jpg
Black-crowned Night-Heron,Nycticorax nycticorax,Least Concern,Coastal Birds,"500,000","41.2, -72.5",1500,50000,Most active at night and dusk when hunting for fish.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/556_Sibl_9780307957900_art_r1.jpg
Cerulean Warbler,Setophaga cerulea,Vulnerable,Forest Birds,"560,000","41.6, -72.7",900,90000,A sky-blue warbler declining due to loss of mature forests.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/4668_Sibl_9780307957900_art_r1.jpg
Saltmarsh Sparrow,Ammospiza caudacuta,High Concern,Salt Marsh Birds,"53,000","41.5, -72.7",300,70000,One of the only sparrows that nests exclusively in salt marshes.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/6519_Sibl_9780307957900_art_r1.jpg
Upland Sandpiper,Bartramia longicauda,Near Threatened,Grassland Birds,"350,000","41.5, -72.6",1300,60000,A shorebird of the prairie with a distinctive wolf-whistle call.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/1371_Sibl_9780307957900_art_r1.jpg
Wood Thrush,Hylocichla mustelina,Near Threatened,Forest Birds,"14,000,000","41.6, -72.7",1200,90000,Known for its hauntingly beautiful flute-like song.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/4557_Sibl_9780307957900_art_r1.jpg
Piping Plover,Charadrius melodus,Near Threatened,Coastal Birds,"8,000","41.2, -72.5",400,50000,Tiny shorebird famous for its 'peep-lo' call.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/1256_Sibl_9780307957900_art_r1.jpg
Least Tern,Sternula antillarum,Least Concern,Coastal Birds,"100,000","41.2, -72.5",600,50000,"The smallest American tern with a sharp, squeaky call.",https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/6661_Sibl_9780307957900_art_r1.jpg
Northern Harrier,Circus hudsonius,Least Concern,Grassland Birds,"1,200,000","41.5, -72.6",2000,60000,"Recognizable by its owl-like face and low, coursing flight.",https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/2333_Sibl_9780307957900_art_r1.jpg
Bobolink,Dolichonyx oryzivorus,Near Threatened,Grassland Birds,"11,000,000","41.5, -72.6",1000,60000,Males sing bubbling songs as they flutter over grasslands.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/4866_Sibl_9780307957900_art_r1.jpg
Prairie Warbler,Setophaga discolor,Least Concern,Shrubland Birds,"1,400,000","41.5, -72.7",900,70000,Prefers shrubby habitats and sings a rising buzzy song.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/5309_Sibl_9780307957900_art_r1.jpg
Eastern Meadowlark,Sturnella magna,Least Concern,Grassland Birds,"600,000","41.5, -72.6",1000,60000,"Known for its cheerful, flute-like song and distinctive yellow belly.",https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/6006_Sibl_9780307957900_art_r1.jpg
Sedge Wren,Cistothorus platensis,Near Threatened,Grassland Birds,"150,000","41.5, -72.6",800,60000,A small wren that builds its nests in dense grass.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/3397_Sibl_9780307957900_art_r1.jpg
Great Egret,Ardea alba,Least Concern,Coastal Birds,"700,000","41.2, -72.5",1500,50000,Known for its graceful flight and striking white plumage.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/497_Sibl_9780307957900_art_r1.jpg
Northern Bobwhite,Colinus virginianus,Least Concern,Grassland Birds,"7,500,000","41.5, -72.6",1200,60000,A ground-dwelling quail with a distinctive whistle.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/1063_Sibl_9780307957900_art_r1.jpg
American Woodcock,Scolopax minor,Least Concern,Grassland Birds,"800,000","41.5, -72.6",1000,60000,Known for its aerial display during the breeding season.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/5207_Sibl_9780307957900_art_r1.jpg
Marbled Godwit,Limosa fedoa,Least Concern,Coastal Birds,"300,000","41.2, -72.5",1200,50000,A long-billed shorebird found in coastal mudflats.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/1421_Sibl_9780307957900_art_r1.jpg
Swainson's Hawk,Buteo swainsoni,Least Concern,Grassland Birds,"250,000","41.5, -72.6",1600,60000,A hawk known for its long migrations and large wingspan.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/870_Sibl_9780307957900_art_r1.jpg
Eastern Whip-poor-will,Antrostomus vociferus,Least Concern,Forest Birds,"200,000","41.6, -72.7",800,90000,Named for its distinctive 'whip-poor-will' call heard at night.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/1898_Sibl_9780307957900_art_r1.jpg
Ruby-throated Hummingbird,Archilochus colubris,Least Concern,Urban Birds,"40,000,000","41.76, -72.68",700,40000,The only hummingbird species that breeds in eastern North America.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/2762_Sibl_9780307957900_art_r1.jpg
Black-billed Cuckoo,Coccyzus erythropthalmus,Least Concern,Forest Birds,"600,000","41.6, -72.7",1000,90000,A bird known for its distinctive 'kow-kow-kow' call.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/1722_Sibl_9780307957900_art_r1.jpg
Scarlet Tanager,Piranga olivacea,Least Concern,Forest Birds,"500,000","41.6, -72.7",800,90000,"A striking red bird with black wings, found in deciduous forests.",https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/3468_Sibl_9780307957900_art_r1.jpg
White-eyed Vireo,Vireo griseus,Least Concern,Forest Birds,"700,000","41.6, -72.7",600,90000,A small songbird with a distinctive white ring around its eyes.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/4602_Sibl_9780307957900_art_r1.jpg
Common Nighthawk,Chordeiles minor,Least Concern,Urban Birds,"1,500,000","41.76, -72.68",1000,40000,A nocturnal bird that feeds on insects during its aerial flights.,https://nas-national-prod.s3.amazonaws.com/styles/api_bird_illustration_with_crop_193_200/public/birds/illustration/1913_Sibl_9780307957900_art_r1.jpg
